Tanggal;Wilayah ;PM10;SO2;CO;O3;NO2;;;
01/12/2017;DKI2 (Kelapa Gading);27;49;23;33;8;;;
02/12/2017;DKI2 (Kelapa Gading);39;49;30;32;7;;;
03/12/2017;DKI2 (Kelapa Gading);39;49;31;43;7;;;
04/12/2017;DKI2 (Kelapa Gading);30;50;25;43;5;;;
05/12/2017;DKI2 (Kelapa Gading);37;50;27;50;7;;;
06/12/2017;DKI2 (Kelapa Gading);43;51;29;95;21;;;
07/12/2017;DKI3 (Jagakarsa);43;51;29;77;21;;;
08/12/2017;DKI3 (Jagakarsa);41;51;27;77;19;;;
09/12/2017;DKI3 (Jagakarsa);25;51;29;73;14;;;
10/12/2017;DKI2 (Kelapa Gading);24;51;25;38;6;;;
11/12/2017;DKI2 (Kelapa Gading);31;51;27;35;11;;;
12/12/2017;DKI3 (Jagakarsa);24;27;36;46;9;;;
13/12/2017;DKI2 (Kelapa Gading);27;51;38;34;10;;;
14/12/2017;DKI3 (Jagakarsa);35;51;28;59;23;;;
15/12/2017;DKI2 (Kelapa Gading);41;51;27;47;18;;;
16/12/2017;DKI4 (Lubang Buaya);63;51;38;50;18;;;
17/12/2017;DKI2 (Kelapa Gading);33;51;31;45;11;;;
18/12/2017;DKI2 (Kelapa Gading);30;52;30;41;8;;;
19/12/2017;DKI2 (Kelapa Gading);33;52;27;45;11;;;
20/12/2017;DKI2 (Kelapa Gading);39;52;31;50;12;;;
21/12/2017;DKI3 (Jagakarsa);37;52;28;53;15;;;
22/12/2017;DKI2 (Kelapa Gading);29;52;37;52;12;;;
23/12/2017;DKI2 (Kelapa Gading);34;52;27;56;9;;;
24/12/2017;DKI2 (Kelapa Gading);38;30;29;43;7;;;
25/12/2017;DKI2 (Kelapa Gading);30;29;26;31;5;;;
26/12/2017;DKI3 (Jagakarsa);38;30;26;40;5;;;
27/12/2017;DKI4 (Lubang Buaya);55;30;26;43;11;;;
28/12/2017;DKI4 (Lubang Buaya);31;30;26;48;18;;;
29/12/2017;DKI3 (Jagakarsa);72;35;38;84;16;;;
30/12/2017;DKI3 (Jagakarsa);60;34;31;81;15;;;
31/12/2017;DKI4 (Lubang Buaya);63;33;40;43;14;;;
01/12/2017;DKI1 (Bunderan HI);27;21;21;19;3;;;
02/12/2017;DKI1 (Bunderan HI);39;20;18;20;3;;;
03/12/2017;DKI1 (Bunderan HI);33;19;17;27;3;;;
04/12/2017;DKI1 (Bunderan HI);27;20;15;25;2;;;
05/12/2017;DKI1 (Bunderan HI);30;19;18;29;4;;;
06/12/2017;DKI1 (Bunderan HI);28;20;19;78;6;;;
07/12/2017;DKI1 (Bunderan HI);35;22;19;40;4;;;
11/12/2017;DKI1 (Bunderan HI);25;20;17;16;2;;;
12/12/2017;DKI1 (Bunderan HI);24;20;25;21;2;;;
13/12/2017;DKI1 (Bunderan HI);27;19;24;16;1;;;
14/12/2017;DKI1 (Bunderan HI);10;20;20;31;4;;;
16/12/2017;DKI1 (Bunderan HI);51;23;22;18;2;;;
17/12/2017;DKI1 (Bunderan HI);33;20;18;29;2;;;
18/12/2017;DKI1 (Bunderan HI);17;23;17;25;2;;;
19/12/2017;DKI1 (Bunderan HI);27;21;19;31;4;;;
20/12/2017;DKI1 (Bunderan HI);33;21;18;30;3;;;
21/12/2017;DKI1 (Bunderan HI);30;21;22;28;3;;;
22/12/2017;DKI1 (Bunderan HI);28;20;26;25;3;;;
23/12/2017;DKI1 (Bunderan HI);34;21;21;35;3;;;
24/12/2017;DKI1 (Bunderan HI);24;21;18;34;2;;;
25/12/2017;DKI1 (Bunderan HI);20;19;14;22;2;;;
26/12/2017;DKI1 (Bunderan HI);16;20;14;33;2;;;
27/12/2017;DKI1 (Bunderan HI);22;21;15;27;3;;;
28/12/2017;DKI1 (Bunderan HI);31;23;17;35;3;;;
29/12/2017;DKI1 (Bunderan HI);35;24;21;45;4;;;
30/12/2017;DKI1 (Bunderan HI);49;23;18;54;3;;;
31/12/2017;DKI1 (Bunderan HI);38;23;21;30;4;;;
01/12/2017;DKI2 (Kelapa Gading);17;49;8;17;8;;;
02/12/2017;DKI2 (Kelapa Gading);34;49;11;16;7;;;
03/12/2017;DKI2 (Kelapa Gading);31;49;9;29;7;;;
04/12/2017;DKI2 (Kelapa Gading);22;50;6;29;5;;;
05/12/2017;DKI2 (Kelapa Gading);25;50;8;38;7;;;
06/12/2017;DKI2 (Kelapa Gading);37;51;10;95;21;;;
07/12/2017;DKI2 (Kelapa Gading);43;51;10;54;21;;;
08/12/2017;DKI2 (Kelapa Gading);30;51;7;30;19;;;
09/12/2017;DKI2 (Kelapa Gading);22;51;11;32;14;;;
10/12/2017;DKI2 (Kelapa Gading);24;51;6;25;6;;;
11/12/2017;DKI2 (Kelapa Gading);29;51;9;30;11;;;
13/12/2017;DKI2 (Kelapa Gading);21;51;23;19;7;;;
14/12/2017;DKI2 (Kelapa Gading);27;51;11;58;23;;;
15/12/2017;DKI2 (Kelapa Gading);34;51;9;31;18;;;
16/12/2017;DKI2 (Kelapa Gading);46;51;15;19;18;;;
17/12/2017;DKI2 (Kelapa Gading);25;51;11;25;7;;;
18/12/2017;DKI2 (Kelapa Gading);24;52;8;25;7;;;
19/12/2017;DKI2 (Kelapa Gading);22;52;7;33;11;;;
20/12/2017;DKI2 (Kelapa Gading);26;52;7;30;12;;;
21/12/2017;DKI2 (Kelapa Gading);31;52;19;33;15;;;
22/12/2017;DKI2 (Kelapa Gading);29;52;19;30;12;;;
23/12/2017;DKI2 (Kelapa Gading);30;52;11;56;9;;;
31/12/2017;DKI2 (Kelapa Gading);47;32;14;43;14;;;
07/12/2017;DKI3 (Jagakarsa) ;16;14;13;77;5;;;
08/12/2017;DKI3 (Jagakarsa) ;10;14;8;77;3;;;
09/12/2017;DKI3 (Jagakarsa) ;9;15;7;73;4;;;
11/12/2017;DKI3 (Jagakarsa) ;9;14;9;35;2;;;
12/12/2017;DKI3 (Jagakarsa) ;5;14;15;46;3;;;
13/12/2017;DKI3 (Jagakarsa) ;7;14;12;34;4;;;
14/12/2017;DKI3 (Jagakarsa) ;25;14;13;59;3;;;
15/12/2017;DKI3 (Jagakarsa) ;10;14;11;47;3;;;
16/12/2017;DKI3 (Jagakarsa) ;40;14;20;50;6;;;
17/12/2017;DKI3 (Jagakarsa) ;7;14;14;45;3;;;
18/12/2017;DKI3 (Jagakarsa) ;10;15;8;41;2;;;
20/12/2017;DKI3 (Jagakarsa) ;8;14;19;50;10;;;
25/12/2017;DKI3 (Jagakarsa) ;17;15;12;31;3;;;
26/12/2017;DKI3 (Jagakarsa) ;13;14;9;40;2;;;
27/12/2017;DKI3 (Jagakarsa) ;18;16;9;43;3;;;
28/12/2017;DKI3 (Jagakarsa) ;31;15;11;39;3;;;
29/12/2017;DKI3 (Jagakarsa) ;36;20;22;84;8;;;
30/12/2017;DKI3 (Jagakarsa) ;52;19;21;81;7;;;
31/12/2017;DKI3 (Jagakarsa) ;25;17;22;37;6;;;
02/12/2017;DKI4 (Lubang Buaya);35;26;8;22;5;;;
05/12/2017;DKI4 (Lubang Buaya);37;27;7;50;6;;;
06/12/2017;DKI4 (Lubang Buaya);43;28;6;86;7;;;
07/12/2017;DKI4 (Lubang Buaya);41;31;5;66;8;;;
12/12/2017;DKI4 (Lubang Buaya);24;27;12;46;8;;;
14/12/2017;DKI4 (Lubang Buaya);35;28;7;58;13;;;
15/12/2017;DKI4 (Lubang Buaya);41;28;7;35;7;;;
16/12/2017;DKI4 (Lubang Buaya);63;29;14;38;7;;;
20/12/2017;DKI4 (Lubang Buaya);39;28;8;33;9;;;
21/12/2017;DKI4 (Lubang Buaya);35;28;15;34;7;;;
29/12/2017;DKI4 (Lubang Buaya);72;35;27;77;13;;;
30/12/2017;DKI4 (Lubang Buaya);60;34;19;56;9;;;
31/12/2017;DKI4 (Lubang Buaya);63;33;25;36;9;;;
02/12/2017;DKI5 (Kebon Jeruk);26;19;30;19;5;;;
03/12/2017;DKI5 (Kebon Jeruk);33;18;31;26;3;;;
05/12/2017;DKI5 (Kebon Jeruk);28;18;27;27;4;;;
06/12/2017;DKI5 (Kebon Jeruk);31;19;29;49;6;;;
07/12/2017;DKI5 (Kebon Jeruk);32;22;29;52;7;;;
08/12/2017;DKI5 (Kebon Jeruk);23;22;27;46;4;;;
09/12/2017;DKI5 (Kebon Jeruk);25;20;29;39;5;;;
10/12/2017;DKI5 (Kebon Jeruk);14;18;25;22;2;;;
11/12/2017;DKI5 (Kebon Jeruk);24;19;27;29;3;;;
12/12/2017;DKI5 (Kebon Jeruk);20;18;36;29;9;;;
13/12/2017;DKI5 (Kebon Jeruk);19;18;38;19;10;;;
14/12/2017;DKI5 (Kebon Jeruk);22;20;28;37;4;;;
15/12/2017;DKI5 (Kebon Jeruk);26;19;27;30;3;;;
16/12/2017;DKI5 (Kebon Jeruk);46;25;38;25;10;;;
17/12/2017;DKI5 (Kebon Jeruk);28;20;31;25;11;;;
18/12/2017;DKI5 (Kebon Jeruk);30;23;30;26;8;;;
19/12/2017;DKI5 (Kebon Jeruk);27;19;27;33;6;;;
20/12/2017;DKI5 (Kebon Jeruk);37;20;31;32;9;;;
21/12/2017;DKI5 (Kebon Jeruk);37;20;28;35;9;;;
22/12/2017;DKI5 (Kebon Jeruk);27;20;37;35;10;;;
23/12/2017;DKI5 (Kebon Jeruk);31;21;27;32;9;;;
24/12/2017;DKI5 (Kebon Jeruk);28;22;29;24;5;;;
27/12/2017;DKI5 (Kebon Jeruk);21;21;26;30;4;;;
28/12/2017;DKI5 (Kebon Jeruk);29;23;26;46;5;;;
29/12/2017;DKI5 (Kebon Jeruk);55;28;38;47;10;;;
30/12/2017;DKI5 (Kebon Jeruk);51;26;31;49;8;;;
31/12/2017;DKI5 (Kebon Jeruk);52;23;40;33;8;;;
01/11/2017;DKI5 (Kebon Jeruk);59;53;33;144;15;;;
02/11/2017;DKI2 (Kelapa Gading);83;54;37;138;18;;;
03/11/2017;DKI5 (Kebon Jeruk);65;53;32;160;15;;;
04/11/2017;DKI5 (Kebon Jeruk);66;53;34;91;24;;;
05/11/2017;DKI5 (Kebon Jeruk);72;53;43;81;18;;;
06/11/2017;DKI5 (Kebon Jeruk);54;53;32;62;12;;;
07/11/2017;DKI3 (Jagakarsa);51;53;31;56;11;;;
08/11/2017;DKI5 (Kebon Jeruk);57;53;47;65;20;;;
09/11/2017;DKI2 (Kelapa Gading);59;53;34;75;16;;;
10/11/2017;DKI4 (Lubang Buaya);52;53;45;106;18;;;
11/11/2017;DKI1 (Bunderan HI);58;53;35;150;19;;;
12/11/2017;DKI4 (Lubang Buaya);51;52;33;99;12;;;
13/11/2017;DKI2 (Kelapa Gading);51;53;37;66;19;;;
14/11/2017;DKI3 (Jagakarsa);58;53;42;99;22;;;
15/11/2017;DKI3 (Jagakarsa);48;53;32;121;29;;;
16/11/2017;DKI1 (Bunderan HI);72;54;30;125;19;;;
17/11/2017;DKI4 (Lubang Buaya);57;54;57;126;26;;;
18/11/2017;DKI5 (Kebon Jeruk);60;55;31;110;16;;;
19/11/2017;DKI5 (Kebon Jeruk);56;53;36;85;16;;;
20/11/2017;DKI1 (Bunderan HI);55;54;34;128;12;;;
21/11/2017;DKI5 (Kebon Jeruk);59;54;35;153;15;;;
22/11/2017;DKI4 (Lubang Buaya);65;54;41;117;23;;;
23/11/2017;DKI2 (Kelapa Gading);70;55;48;71;20;;;
24/11/2017;DKI2 (Kelapa Gading);40;53;29;42;18;;;
25/11/2017;DKI2 (Kelapa Gading);40;53;30;38;7;;;
26/11/2017;DKI2 (Kelapa Gading);28;53;25;37;6;;;
27/11/2017;DKI2 (Kelapa Gading);20;53;26;37;7;;;
28/11/2017;DKI2 (Kelapa Gading);19;53;26;33;7;;;
29/11/2017;DKI2 (Kelapa Gading);25;53;25;37;15;;;
30/11/2017;DKI2 (Kelapa Gading);29;53;32;43;13;;;
01/11/2017;DKI1 (Bunderan HI);40;21;19;88;11;;;
02/11/2017;DKI1 (Bunderan HI);51;23;19;136;6;;;
03/11/2017;DKI1 (Bunderan HI);51;21;19;105;8;;;
04/11/2017;DKI1 (Bunderan HI);55;21;20;87;5;;;
05/11/2017;DKI1 (Bunderan HI);64;20;27;57;9;;;
06/11/2017;DKI1 (Bunderan HI);32;17;16;49;3;;;
07/11/2017;DKI1 (Bunderan HI);37;17;19;12;3;;;
08/11/2017;DKI1 (Bunderan HI);53;19;27;43;5;;;
09/11/2017;DKI1 (Bunderan HI);52;19;21;56;4;;;
10/11/2017;DKI1 (Bunderan HI);50;19;28;101;5;;;
11/11/2017;DKI1 (Bunderan HI);56;20;24;150;5;;;
12/11/2017;DKI1 (Bunderan HI);44;18;18;81;3;;;
13/11/2017;DKI1 (Bunderan HI);28;18;21;60;4;;;
14/11/2017;DKI1 (Bunderan HI);52;19;27;71;5;;;
15/11/2017;DKI1 (Bunderan HI);48;19;22;102;5;;;
16/11/2017;DKI1 (Bunderan HI);54;26;27;125;6;;;
18/11/2017;DKI1 (Bunderan HI);59;22;27;80;5;;;
19/11/2017;DKI1 (Bunderan HI);46;20;22;79;9;;;
20/11/2017;DKI1 (Bunderan HI);48;21;20;128;5;;;
21/11/2017;DKI1 (Bunderan HI);30;20;19;141;5;;;
24/11/2017;DKI1 (Bunderan HI);40;19;17;18;2;;;
25/11/2017;DKI1 (Bunderan HI);27;19;18;20;2;;;
26/11/2017;DKI1 (Bunderan HI);28;20;15;18;2;;;
27/11/2017;DKI1 (Bunderan HI);20;18;16;19;2;;;
28/11/2017;DKI1 (Bunderan HI);19;18;16;21;2;;;
29/11/2017;DKI1 (Bunderan HI);23;19;16;28;3;;;
30/11/2017;DKI1 (Bunderan HI);29;21;23;18;4;;;
01/11/2017;DKI2 (Kelapa Gading);59;50;11;80;15;;;
02/11/2017;DKI2 (Kelapa Gading);70;51;15;138;18;;;
03/11/2017;DKI2 (Kelapa Gading);60;50;10;108;12;;;
04/11/2017;DKI2 (Kelapa Gading);55;50;10;73;14;;;
05/11/2017;DKI2 (Kelapa Gading);67;52;18;52;18;;;
06/11/2017;DKI2 (Kelapa Gading);43;50;8;39;12;;;
07/11/2017;DKI2 (Kelapa Gading);36;52;9;25;9;;;
08/11/2017;DKI2 (Kelapa Gading);57;52;22;39;20;;;
09/11/2017;DKI2 (Kelapa Gading);45;49;11;75;16;;;
10/11/2017;DKI2 (Kelapa Gading);51;51;15;69;18;;;
13/11/2017;DKI2 (Kelapa Gading);49;48;12;66;19;;;
14/11/2017;DKI2 (Kelapa Gading);53;53;18;61;22;;;
15/11/2017;DKI2 (Kelapa Gading);40;53;12;79;29;;;
16/11/2017;DKI2 (Kelapa Gading);59;54;11;101;19;;;
17/11/2017;DKI2 (Kelapa Gading);55;54;15;90;26;;;
18/11/2017;DKI2 (Kelapa Gading);60;55;19;66;16;;;
19/11/2017;DKI2 (Kelapa Gading);47;53;16;76;16;;;
20/11/2017;DKI2 (Kelapa Gading);55;54;11;105;11;;;
21/11/2017;DKI2 (Kelapa Gading);43;53;8;106;14;;;
22/11/2017;DKI2 (Kelapa Gading);56;54;12;32;23;;;
23/11/2017;DKI2 (Kelapa Gading);70;55;16;71;20;;;
24/11/2017;DKI2 (Kelapa Gading);32;53;6;32;18;;;
25/11/2017;DKI2 (Kelapa Gading);29;53;7;29;7;;;
26/11/2017;DKI2 (Kelapa Gading);25;53;6;27;6;;;
27/11/2017;DKI2 (Kelapa Gading);19;53;7;18;7;;;
28/11/2017;DKI2 (Kelapa Gading);18;53;8;18;7;;;
29/11/2017;DKI2 (Kelapa Gading);24;53;7;37;15;;;
30/11/2017;DKI2 (Kelapa Gading);27;53;13;23;13;;;
01/11/2017;DKI3 (Jagakarsa) ;48;13;13;50;5;;;
02/11/2017;DKI3 (Jagakarsa) ;58;14;21;48;15;;;
03/11/2017;DKI3 (Jagakarsa) ;63;14;16;58;7;;;
04/11/2017;DKI3 (Jagakarsa) ;65;14;14;57;8;;;
05/11/2017;DKI3 (Jagakarsa) ;53;15;13;32;8;;;
06/11/2017;DKI3 (Jagakarsa) ;52;14;22;21;7;;;
07/11/2017;DKI3 (Jagakarsa) ;32;15;16;56;10;;;
08/11/2017;DKI3 (Jagakarsa) ;36;14;21;34;10;;;
09/11/2017;DKI3 (Jagakarsa) ;56;14;20;31;6;;;
10/11/2017;DKI3 (Jagakarsa) ;47;14;20;48;12;;;
11/11/2017;DKI3 (Jagakarsa) ;45;14;15;40;6;;;
12/11/2017;DKI3 (Jagakarsa) ;51;14;15;85;12;;;
13/11/2017;DKI3 (Jagakarsa) ;41;13;15;58;6;;;
14/11/2017;DKI3 (Jagakarsa) ;41;14;19;99;7;;;
15/11/2017;DKI3 (Jagakarsa) ;37;14;17;121;12;;;
16/11/2017;DKI3 (Jagakarsa) ;61;16;19;107;9;;;
17/11/2017;DKI3 (Jagakarsa) ;51;15;29;89;10;;;
18/11/2017;DKI3 (Jagakarsa) ;44;15;17;82;5;;;
19/11/2017;DKI3 (Jagakarsa) ;38;15;23;63;5;;;
24/11/2017;DKI3 (Jagakarsa) ;30;14;10;42;4;;;
25/11/2017;DKI3 (Jagakarsa) ;7;14;10;38;4;;;
26/11/2017;DKI3 (Jagakarsa) ;2;13;6;37;1;;;
27/11/2017;DKI3 (Jagakarsa) ;5;13;6;37;2;;;
30/11/2017;DKI3 (Jagakarsa) ;17;13;6;38;2;;;
01/11/2017;DKI4 (Lubang Buaya);55;53;6;100;9;;;
02/11/2017;DKI4 (Lubang Buaya);83;54;8;98;10;;;
03/11/2017;DKI4 (Lubang Buaya);65;53;8;86;15;;;
04/11/2017;DKI4 (Lubang Buaya);66;53;4;71;24;;;
05/11/2017;DKI4 (Lubang Buaya);72;53;7;63;12;;;
08/11/2017;DKI4 (Lubang Buaya);57;53;18;49;9;;;
10/11/2017;DKI4 (Lubang Buaya);52;53;10;106;11;;;
11/11/2017;DKI4 (Lubang Buaya);58;53;12;122;12;;;
12/11/2017;DKI4 (Lubang Buaya);48;52;9;99;9;;;
13/11/2017;DKI4 (Lubang Buaya);51;53;13;52;11;;;
14/11/2017;DKI4 (Lubang Buaya);54;53;19;89;11;;;
15/11/2017;DKI4 (Lubang Buaya);46;53;10;98;20;;;
16/11/2017;DKI4 (Lubang Buaya);72;53;11;85;15;;;
17/11/2017;DKI4 (Lubang Buaya);51;53;20;126;18;;;
18/11/2017;DKI4 (Lubang Buaya);55;53;16;55;10;;;
22/11/2017;DKI4 (Lubang Buaya);65;53;13;117;10;;;
23/11/2017;DKI4 (Lubang Buaya);51;53;10;50;8;;;
24/11/2017;DKI4 (Lubang Buaya);38;53;6;31;6;;;
25/11/2017;DKI4 (Lubang Buaya);40;53;6;24;7;;;
09/11/2017;DKI5 (Kebon Jeruk);48;21;34;58;8;;;
